txn_id,item_name,qty,price
TXN-1102,Aashirvaad Atta 5kg,5,282
TXN-1103,Sugar 1kg,1,54
TXN-1104,Tur Dal Loose,4,58
TXN-1105,Cardamom 100g,5,403
TXN-1106,Lux Soap,4,91
TXN-1107,Cardamom 100g,2,455
TXN-1108,Tata Tea Gold,4,421
TXN-1109,Basmati Rice 1kg,4,87
TXN-1110,Lux Soap,3,390
TXN-1111,Sugar 1kg,1,276
TXN-1112,Sugar 1kg,5,111
TXN-1113,Aashirvaad Atta 5kg,2,193
TXN-1114,Cardamom 100g,3,244
TXN-1115,Aashirvaad Atta 5kg,4,468
TXN-1116,Tur Dal Loose,5,115
TXN-1117,Tur Dal Loose,2,35
TXN-1118,Tata Tea Gold,3,179
TXN-1119,Basmati Rice 1kg,5,155
TXN-1120,Sugar 1kg,4,329
TXN-1121,Aashirvaad Atta 5kg,5,99
TXN-1122,Sugar 1kg,4,370
TXN-1123,Basmati Rice 1kg,1,316
TXN-1124,Lux Soap,3,325
TXN-1125,Cardamom 100g,2,290
TXN-1126,Aashirvaad Atta 5kg,1,166
TXN-1127,Sugar 1kg,4,317
TXN-1128,Sugar 1kg,2,243
TXN-1129,Tur Dal Loose,3,226
TXN-1130,Lux Soap,5,51
TXN-1131,Basmati Rice 1kg,2,72
TXN-1132,Aashirvaad Atta 5kg,1,246
TXN-1133,Sugar 1kg,4,294
TXN-1134,Cardamom 100g,3,284
TXN-1135,Tata Tea Gold,5,418
TXN-1136,Basmati Rice 1kg,5,202
TXN-1137,Sugar 1kg,2,156
TXN-1138,Lux Soap,4,235
TXN-1139,Cardamom 100g,1,346
TXN-1140,Sugar 1kg,4,219
TXN-1141,Lux Soap,1,414
TXN-1142,Tur Dal Loose,3,393
TXN-1143,Tata Tea Gold,1,110
TXN-1144,Cardamom 100g,4,33
TXN-1145,Lux Soap,5,407
TXN-1146,Tata Tea Gold,3,52
TXN-1147,Aashirvaad Atta 5kg,2,343
TXN-1148,Basmati Rice 1kg,2,104
TXN-1149,Cardamom 100g,5,37
TXN-1150,Basmati Rice 1kg,3,298
TXN-1151,Cardamom 100g,5,217
TXN-1152,Lux Soap,4,169
TXN-1153,Aashirvaad Atta 5kg,4,73
TXN-1154,Cardamom 100g,4,150
TXN-1155,Aashirvaad Atta 5kg,2,480
TXN-1156,Sugar 1kg,2,134
TXN-1157,Tata Tea Gold,2,261
TXN-1158,Cardamom 100g,3,486
TXN-1159,Sugar 1kg,1,474
TXN-1160,Lux Soap,5,248
TXN-1161,Tata Tea Gold,5,33
TXN-1162,Aashirvaad Atta 5kg,5,346
TXN-1163,Aashirvaad Atta 5kg,3,200
TXN-1164,Sugar 1kg,5,363
TXN-1165,Basmati Rice 1kg,4,322
TXN-1166,Tur Dal Loose,4,252
TXN-1167,Basmati Rice 1kg,2,228
TXN-1168,Basmati Rice 1kg,2,265
TXN-1169,Tata Tea Gold,3,321
TXN-1170,Basmati Rice 1kg,5,162
TXN-1171,Tata Tea Gold,4,196
TXN-1172,Cardamom 100g,2,391
TXN-1173,Sugar 1kg,1,245
TXN-1174,Lux Soap,1,423
TXN-1175,Aashirvaad Atta 5kg,2,319
TXN-1176,Cardamom 100g,5,478
TXN-1177,Basmati Rice 1kg,3,334
TXN-1178,Sugar 1kg,5,182
TXN-1179,Tur Dal Loose,2,249
TXN-1180,Tata Tea Gold,5,263
TXN-1181,Cardamom 100g,2,125
TXN-1182,Basmati Rice 1kg,5,479
TXN-1183,Cardamom 100g,1,466
TXN-1184,Tur Dal Loose,2,489
TXN-1185,Aashirvaad Atta 5kg,2,287
TXN-1186,Aashirvaad Atta 5kg,1,375
TXN-1187,Lux Soap,2,296
TXN-1188,Tur Dal Loose,2,152
TXN-1189,Sugar 1kg,3,475
TXN-1190,Sugar 1kg,3,257
TXN-1191,Tur Dal Loose,4,478
TXN-1192,Tata Tea Gold,1,54
TXN-1193,Tata Tea Gold,5,35
TXN-1194,Cardamom 100g,3,348
TXN-1195,Cardamom 100g,5,336
TXN-1196,Tata Tea Gold,5,376
TXN-1197,Cardamom 100g,1,63
TXN-1198,Tata Tea Gold,4,89
TXN-1199,Basmati Rice 1kg,5,176
TXN-1200,Lux Soap,1,61
TXN-1201,Cardamom 100g,5,232
TXN-1202,Tata Tea Gold,4,119
TXN-1203,Aashirvaad Atta 5kg,3,317
TXN-1204,Sugar 1kg,5,109
TXN-1205,Tata Tea Gold,1,441
TXN-1206,Cardamom 100g,1,33
TXN-1207,Tata Tea Gold,4,255
TXN-1208,Aashirvaad Atta 5kg,5,101
TXN-1209,Tata Tea Gold,4,406
TXN-1210,Cardamom 100g,2,341
TXN-1211,Sugar 1kg,5,483
TXN-1212,Lux Soap,4,170
TXN-1213,Sugar 1kg,5,498
TXN-1214,Lux Soap,1,350
TXN-1215,Sugar 1kg,5,234
TXN-1216,Tur Dal Loose,4,247
TXN-1217,Basmati Rice 1kg,1,71
TXN-1218,Aashirvaad Atta 5kg,2,119
TXN-1219,Tata Tea Gold,5,192
TXN-1220,Tur Dal Loose,3,204
TXN-1221,Cardamom 100g,1,184
TXN-1222,Lux Soap,2,30
TXN-1223,Basmati Rice 1kg,3,267
TXN-1224,Aashirvaad Atta 5kg,5,440
TXN-1225,Tur Dal Loose,4,456
TXN-1226,Aashirvaad Atta 5kg,5,53
TXN-1227,Tur Dal Loose,5,348
TXN-1228,Lux Soap,3,179
TXN-1229,Aashirvaad Atta 5kg,3,443
TXN-1230,Tata Tea Gold,3,200
TXN-1231,Lux Soap,2,203
TXN-1232,Basmati Rice 1kg,5,473
TXN-1233,Basmati Rice 1kg,4,137
TXN-1234,Aashirvaad Atta 5kg,5,301
TXN-1235,Sugar 1kg,4,474
TXN-1236,Sugar 1kg,2,241
TXN-1237,Tata Tea Gold,5,266
TXN-1238,Aashirvaad Atta 5kg,3,214
TXN-1239,Tur Dal Loose,5,135
TXN-1240,Cardamom 100g,2,78
TXN-1241,Cardamom 100g,2,73
TXN-1242,Cardamom 100g,4,185
TXN-1243,Lux Soap,5,496
TXN-1244,Aashirvaad Atta 5kg,4,366
TXN-1245,Aashirvaad Atta 5kg,3,329
TXN-1246,Cardamom 100g,2,80
TXN-1247,Basmati Rice 1kg,4,210
TXN-1248,Tur Dal Loose,2,369
TXN-1249,Tata Tea Gold,2,442
TXN-1250,Tata Tea Gold,2,70
TXN-1251,Lux Soap,2,366
TXN-1252,Basmati Rice 1kg,5,454
TXN-1253,Lux Soap,3,189
TXN-1254,Basmati Rice 1kg,4,99
TXN-1255,Aashirvaad Atta 5kg,2,381
TXN-1256,Lux Soap,5,287
TXN-1257,Aashirvaad Atta 5kg,2,96
TXN-1258,Aashirvaad Atta 5kg,5,256
TXN-1259,Cardamom 100g,2,452
TXN-1260,Sugar 1kg,5,497
TXN-1261,Cardamom 100g,5,308
TXN-1262,Lux Soap,5,197
TXN-1263,Basmati Rice 1kg,5,473
TXN-1264,Tur Dal Loose,5,470
TXN-1265,Basmati Rice 1kg,1,500
TXN-1266,Tur Dal Loose,4,414
TXN-1267,Sugar 1kg,5,179
TXN-1268,Sugar 1kg,2,23
TXN-1269,Sugar 1kg,2,426
TXN-1270,Tata Tea Gold,2,448
TXN-1271,Basmati Rice 1kg,1,104
TXN-1272,Lux Soap,1,446
TXN-1273,Basmati Rice 1kg,4,462
TXN-1274,Sugar 1kg,4,428
TXN-1275,Tur Dal Loose,1,113
TXN-1276,Basmati Rice 1kg,4,299
TXN-1277,Aashirvaad Atta 5kg,3,308
TXN-1278,Tata Tea Gold,5,454
TXN-1279,Lux Soap,3,378
TXN-1280,Lux Soap,3,368
TXN-1281,Tur Dal Loose,1,64
TXN-1282,Basmati Rice 1kg,5,53
TXN-1283,Lux Soap,3,91
TXN-1284,Cardamom 100g,5,321
TXN-1285,Tur Dal Loose,4,359
TXN-1286,Tata Tea Gold,2,415
TXN-1287,Basmati Rice 1kg,3,222
TXN-1288,Lux Soap,2,133
TXN-1289,Tata Tea Gold,2,206
TXN-1290,Cardamom 100g,5,448
TXN-1291,Lux Soap,2,68
TXN-1292,Aashirvaad Atta 5kg,2,428
TXN-1293,Lux Soap,4,302
TXN-1294,Aashirvaad Atta 5kg,2,268
TXN-1295,Tur Dal Loose,3,166
TXN-1296,Basmati Rice 1kg,3,347
TXN-1297,Tata Tea Gold,2,396
TXN-1298,Sugar 1kg,4,37
TXN-1299,Lux Soap,2,195
TXN-1300,Basmati Rice 1kg,2,114
TXN-1301,Sugar 1kg,2,290
TXN-1302,Sugar 1kg,3,499
TXN-1303,Lux Soap,5,127
TXN-1304,Basmati Rice 1kg,5,371
TXN-1305,Cardamom 100g,2,215
TXN-1306,Cardamom 100g,5,478
TXN-1307,Tata Tea Gold,2,287
TXN-1308,Sugar 1kg,3,223
TXN-1309,Tur Dal Loose,4,325
TXN-1310,Sugar 1kg,3,212
TXN-1311,Tur Dal Loose,4,195
TXN-1312,Tur Dal Loose,1,138
TXN-1313,Cardamom 100g,2,79
TXN-1314,Tur Dal Loose,5,405
TXN-1315,Lux Soap,2,29
TXN-1316,Sugar 1kg,5,93
TXN-1317,Cardamom 100g,2,234
TXN-1318,Tata Tea Gold,3,371
TXN-1319,Tata Tea Gold,5,163
TXN-1320,Sugar 1kg,2,33
TXN-1321,Lux Soap,4,20
TXN-1322,Sugar 1kg,5,487
TXN-1323,Sugar 1kg,4,283
TXN-1324,Lux Soap,4,128
TXN-1325,Tata Tea Gold,4,305
TXN-1326,Cardamom 100g,1,454
TXN-1327,Cardamom 100g,4,439
TXN-1328,Tur Dal Loose,4,81
TXN-1329,Cardamom 100g,1,64
TXN-1330,Sugar 1kg,4,279
TXN-1331,Tata Tea Gold,3,148
TXN-1332,Tata Tea Gold,4,258
TXN-1333,Sugar 1kg,2,403
TXN-1334,Tata Tea Gold,4,261
TXN-1335,Sugar 1kg,3,33
TXN-1336,Tur Dal Loose,5,335
TXN-1337,Basmati Rice 1kg,2,308
TXN-1338,Aashirvaad Atta 5kg,5,456
TXN-1339,Sugar 1kg,2,132
TXN-1340,Basmati Rice 1kg,4,297
TXN-1341,Cardamom 100g,5,40
TXN-1342,Sugar 1kg,4,362
TXN-1343,Sugar 1kg,2,295
TXN-1344,Lux Soap,2,420
TXN-1345,Basmati Rice 1kg,3,270
TXN-1346,Sugar 1kg,4,452
TXN-1347,Cardamom 100g,4,93
TXN-1348,Sugar 1kg,4,442
TXN-1349,Basmati Rice 1kg,3,225
TXN-1350,Lux Soap,3,38
TXN-1351,Basmati Rice 1kg,4,262
TXN-1352,Sugar 1kg,3,74
TXN-1353,Aashirvaad Atta 5kg,2,181
TXN-1354,Tata Tea Gold,5,346
TXN-1355,Sugar 1kg,5,394
TXN-1356,Tata Tea Gold,5,247
TXN-1357,Cardamom 100g,2,343
TXN-1358,Sugar 1kg,1,272
TXN-1359,Sugar 1kg,4,498
TXN-1360,Tur Dal Loose,2,287
TXN-1361,Cardamom 100g,3,205
TXN-1362,Tata Tea Gold,5,397
TXN-1363,Cardamom 100g,3,271
TXN-1364,Basmati Rice 1kg,2,332
TXN-1365,Lux Soap,1,456
TXN-1366,Basmati Rice 1kg,3,475
TXN-1367,Lux Soap,3,312
TXN-1368,Tata Tea Gold,4,384
TXN-1369,Lux Soap,2,226
TXN-1370,Tata Tea Gold,4,158
TXN-1371,Cardamom 100g,1,274
TXN-1372,Cardamom 100g,1,198
TXN-1373,Lux Soap,2,429
TXN-1374,Cardamom 100g,2,173
TXN-1375,Basmati Rice 1kg,4,78
TXN-1376,Sugar 1kg,1,494
TXN-1377,Tata Tea Gold,5,70
TXN-1378,Sugar 1kg,3,240
TXN-1379,Aashirvaad Atta 5kg,3,414
TXN-1380,Aashirvaad Atta 5kg,1,182
TXN-1381,Lux Soap,1,400
TXN-1382,Tata Tea Gold,2,231
TXN-1383,Lux Soap,4,493
TXN-1384,Aashirvaad Atta 5kg,2,98
TXN-1385,Cardamom 100g,4,60
TXN-1386,Basmati Rice 1kg,2,126
TXN-1387,Basmati Rice 1kg,1,350
TXN-1388,Sugar 1kg,4,171
TXN-1389,Aashirvaad Atta 5kg,4,172
TXN-1390,Lux Soap,2,462
TXN-1391,Aashirvaad Atta 5kg,3,236
TXN-1392,Tur Dal Loose,2,34
TXN-1393,Sugar 1kg,3,101
TXN-1394,Basmati Rice 1kg,4,220
TXN-1395,Tur Dal Loose,5,55
TXN-1396,Tur Dal Loose,2,221
TXN-1397,Cardamom 100g,1,242
TXN-1398,Aashirvaad Atta 5kg,2,197
TXN-1399,Sugar 1kg,1,254
TXN-1400,Sugar 1kg,3,80
TXN-1401,Tata Tea Gold,3,90
TXN-1402,Basmati Rice 1kg,4,122
TXN-1403,Aashirvaad Atta 5kg,1,475
TXN-1404,Aashirvaad Atta 5kg,5,229
TXN-1405,Sugar 1kg,4,279
TXN-1406,Basmati Rice 1kg,2,184
TXN-1407,Lux Soap,3,497
TXN-1408,Basmati Rice 1kg,4,481
TXN-1409,Sugar 1kg,4,67
TXN-1410,Sugar 1kg,2,486
TXN-1411,Lux Soap,5,333
TXN-1412,Tur Dal Loose,5,327
TXN-1413,Cardamom 100g,1,232
TXN-1414,Tata Tea Gold,5,202
TXN-1415,Tur Dal Loose,5,138
TXN-1416,Lux Soap,4,50
TXN-1417,Basmati Rice 1kg,5,332
TXN-1418,Tur Dal Loose,3,444
TXN-1419,Tata Tea Gold,3,485
TXN-1420,Lux Soap,1,358
TXN-1421,Basmati Rice 1kg,2,183
TXN-1422,Aashirvaad Atta 5kg,4,282
TXN-1423,Cardamom 100g,5,494
TXN-1424,Aashirvaad Atta 5kg,2,424
TXN-1425,Tata Tea Gold,2,191
TXN-1426,Tur Dal Loose,1,309
TXN-1427,Sugar 1kg,1,235
TXN-1428,Sugar 1kg,2,434
TXN-1429,Aashirvaad Atta 5kg,5,159
TXN-1430,Lux Soap,5,108
TXN-1431,Basmati Rice 1kg,4,384
TXN-1432,Cardamom 100g,2,324
TXN-1433,Aashirvaad Atta 5kg,1,448
TXN-1434,Lux Soap,4,335
TXN-1435,Tata Tea Gold,4,290
TXN-1436,Aashirvaad Atta 5kg,5,382
TXN-1437,Cardamom 100g,2,395
TXN-1438,Cardamom 100g,5,423
TXN-1439,Cardamom 100g,5,316
TXN-1440,Tur Dal Loose,4,59
TXN-1441,Sugar 1kg,3,69
TXN-1442,Tur Dal Loose,5,327
TXN-1443,Cardamom 100g,4,334
TXN-1444,Cardamom 100g,3,256
TXN-1445,Cardamom 100g,4,184
TXN-1446,Tata Tea Gold,1,23
TXN-1447,Basmati Rice 1kg,5,256
TXN-1448,Tata Tea Gold,4,316
TXN-1449,Cardamom 100g,1,152
TXN-1450,Tata Tea Gold,5,145
TXN-1451,Tata Tea Gold,4,115
TXN-1452,Sugar 1kg,5,368
TXN-1453,Aashirvaad Atta 5kg,2,372
TXN-1454,Tata Tea Gold,2,373
TXN-1455,Tur Dal Loose,4,344
TXN-1456,Cardamom 100g,1,438
TXN-1457,Cardamom 100g,3,130
TXN-1458,Tur Dal Loose,1,25
TXN-1459,Lux Soap,1,122
TXN-1460,Tur Dal Loose,2,22
TXN-1461,Lux Soap,1,115
TXN-1462,Cardamom 100g,5,211
TXN-1463,Lux Soap,2,308
TXN-1464,Aashirvaad Atta 5kg,4,24
TXN-1465,Tata Tea Gold,4,316
TXN-1466,Tata Tea Gold,1,387
TXN-1467,Cardamom 100g,4,381
TXN-1468,Tata Tea Gold,5,73
TXN-1469,Lux Soap,3,27
TXN-1470,Basmati Rice 1kg,5,190
TXN-1471,Tur Dal Loose,2,127
TXN-1472,Basmati Rice 1kg,5,21
TXN-1473,Cardamom 100g,2,84
TXN-1474,Aashirvaad Atta 5kg,5,77
TXN-1475,Cardamom 100g,5,190
TXN-1476,Tur Dal Loose,4,441
TXN-1477,Lux Soap,3,372
TXN-1478,Lux Soap,3,468
TXN-1479,Sugar 1kg,3,492
TXN-1480,Sugar 1kg,4,309
TXN-1481,Basmati Rice 1kg,1,136
TXN-1482,Aashirvaad Atta 5kg,2,170
TXN-1483,Aashirvaad Atta 5kg,1,90
TXN-1484,Tur Dal Loose,2,214
TXN-1485,Tur Dal Loose,5,444
TXN-1486,Aashirvaad Atta 5kg,2,323
TXN-1487,Cardamom 100g,3,26
TXN-1488,Aashirvaad Atta 5kg,3,207
TXN-1489,Basmati Rice 1kg,4,55
TXN-1490,Cardamom 100g,3,437
TXN-1491,Tur Dal Loose,3,425
TXN-1492,Sugar 1kg,2,104
TXN-1493,Cardamom 100g,5,171
TXN-1494,Tur Dal Loose,4,87
TXN-1495,Cardamom 100g,1,109
TXN-1496,Tur Dal Loose,4,500
TXN-1497,Cardamom 100g,4,469
TXN-1498,Sugar 1kg,1,69
TXN-1499,Sugar 1kg,1,295
TXN-1500,Tur Dal Loose,1,267
TXN-1501,Tur Dal Loose,1,43
TXN-1502,Sugar 1kg,5,291
TXN-1503,Tata Tea Gold,1,133
TXN-1504,Aashirvaad Atta 5kg,3,278
TXN-1505,Sugar 1kg,5,46
TXN-1506,Sugar 1kg,5,414
TXN-1507,Cardamom 100g,4,148
TXN-1508,Aashirvaad Atta 5kg,4,239
TXN-1509,Tur Dal Loose,2,239
TXN-1510,Tur Dal Loose,4,43
TXN-1511,Sugar 1kg,2,162
TXN-1512,Sugar 1kg,4,368
TXN-1513,Aashirvaad Atta 5kg,2,399
TXN-1514,Cardamom 100g,4,266
TXN-1515,Tata Tea Gold,4,400
TXN-1516,Sugar 1kg,4,371
TXN-1517,Cardamom 100g,3,63
TXN-1518,Sugar 1kg,2,280
TXN-1519,Aashirvaad Atta 5kg,4,186
TXN-1520,Lux Soap,2,211
TXN-1521,Aashirvaad Atta 5kg,1,85
TXN-1522,Tur Dal Loose,4,108
TXN-1523,Basmati Rice 1kg,2,446
TXN-1524,Aashirvaad Atta 5kg,2,218
TXN-1525,Aashirvaad Atta 5kg,5,179
TXN-1526,Basmati Rice 1kg,5,133
TXN-1527,Tata Tea Gold,2,484
TXN-1528,Sugar 1kg,3,386
TXN-1529,Sugar 1kg,1,69
TXN-1530,Tata Tea Gold,4,139
TXN-1531,Basmati Rice 1kg,1,385
TXN-1532,Lux Soap,2,244
TXN-1533,Tur Dal Loose,3,20
TXN-1534,Aashirvaad Atta 5kg,3,288
TXN-1535,Aashirvaad Atta 5kg,1,468
TXN-1536,Lux Soap,5,471
TXN-1537,Lux Soap,1,200
TXN-1538,Basmati Rice 1kg,2,90
TXN-1539,Tur Dal Loose,2,289
TXN-1540,Cardamom 100g,1,350
TXN-1541,Tata Tea Gold,5,37
TXN-1542,Tata Tea Gold,1,467
TXN-1543,Tur Dal Loose,4,195
TXN-1544,Basmati Rice 1kg,1,453
TXN-1545,Basmati Rice 1kg,5,491
TXN-1546,Sugar 1kg,5,428
TXN-1547,Aashirvaad Atta 5kg,1,463
TXN-1548,Sugar 1kg,3,357
TXN-1549,Basmati Rice 1kg,1,465
TXN-1550,Sugar 1kg,3,326
TXN-1551,Lux Soap,3,498
TXN-1552,Tur Dal Loose,1,255
TXN-1553,Basmati Rice 1kg,2,360
TXN-1554,Sugar 1kg,1,58
TXN-1555,Tur Dal Loose,4,202
TXN-1556,Aashirvaad Atta 5kg,2,400
TXN-1557,Cardamom 100g,2,142
TXN-1558,Tur Dal Loose,5,257
TXN-1559,Basmati Rice 1kg,3,466
TXN-1560,Cardamom 100g,2,24
TXN-1561,Cardamom 100g,2,94
TXN-1562,Aashirvaad Atta 5kg,4,473
TXN-1563,Tata Tea Gold,1,375
TXN-1564,Tur Dal Loose,5,336
TXN-1565,Tur Dal Loose,1,174
TXN-1566,Sugar 1kg,5,213
TXN-1567,Tur Dal Loose,5,114
TXN-1568,Sugar 1kg,4,399
TXN-1569,Tata Tea Gold,5,447
TXN-1570,Basmati Rice 1kg,4,420
TXN-1571,Basmati Rice 1kg,5,201
TXN-1572,Tur Dal Loose,3,155
TXN-1573,Aashirvaad Atta 5kg,4,483
TXN-1574,Tur Dal Loose,5,240
TXN-1575,Sugar 1kg,4,200
TXN-1576,Basmati Rice 1kg,4,248
TXN-1577,Basmati Rice 1kg,5,304
TXN-1578,Lux Soap,2,250
TXN-1579,Sugar 1kg,4,103
TXN-1580,Cardamom 100g,5,27
TXN-1581,Sugar 1kg,3,39
TXN-1582,Tur Dal Loose,2,457
TXN-1583,Basmati Rice 1kg,1,480
TXN-1584,Cardamom 100g,5,345
TXN-1585,Basmati Rice 1kg,1,155
TXN-1586,Tata Tea Gold,2,230
TXN-1587,Aashirvaad Atta 5kg,3,56
TXN-1588,Sugar 1kg,2,298
TXN-1589,Aashirvaad Atta 5kg,2,272
TXN-1590,Lux Soap,2,131
TXN-1591,Tur Dal Loose,1,262
TXN-1592,Basmati Rice 1kg,4,400
TXN-1593,Tur Dal Loose,4,133
TXN-1594,Cardamom 100g,2,256
TXN-1595,Sugar 1kg,3,130
TXN-1596,Basmati Rice 1kg,1,130
TXN-1597,Basmati Rice 1kg,1,141
TXN-1598,Sugar 1kg,5,152
TXN-1599,Basmati Rice 1kg,1,369
TXN-1600,Aashirvaad Atta 5kg,5,304
TXN-1601,Sugar 1kg,5,318
TXN-1602,Basmati Rice 1kg,1,226
TXN-1603,Tur Dal Loose,4,169
TXN-1604,Lux Soap,4,401
TXN-1605,Aashirvaad Atta 5kg,5,477
TXN-1606,Aashirvaad Atta 5kg,1,138
TXN-1607,Tur Dal Loose,5,481
TXN-1608,Aashirvaad Atta 5kg,3,88
TXN-1609,Lux Soap,5,367
TXN-1610,Basmati Rice 1kg,4,40
TXN-1611,Tur Dal Loose,4,399
TXN-1612,Basmati Rice 1kg,1,167
TXN-1613,Aashirvaad Atta 5kg,2,153
TXN-1614,Aashirvaad Atta 5kg,1,306
TXN-1615,Aashirvaad Atta 5kg,5,176
TXN-1616,Basmati Rice 1kg,5,179
TXN-1617,Basmati Rice 1kg,4,233
TXN-1618,Tur Dal Loose,2,89
TXN-1619,Cardamom 100g,3,84
TXN-1620,Basmati Rice 1kg,2,421
TXN-1621,Tur Dal Loose,3,353
TXN-1622,Tata Tea Gold,1,43
TXN-1623,Tata Tea Gold,1,23
TXN-1624,Cardamom 100g,1,235
TXN-1625,Lux Soap,4,227
TXN-1626,Lux Soap,5,352
TXN-1627,Cardamom 100g,1,344
TXN-1628,Tata Tea Gold,1,185
TXN-1629,Tata Tea Gold,3,212
TXN-1630,Cardamom 100g,1,412
TXN-1631,Aashirvaad Atta 5kg,3,38
TXN-1632,Basmati Rice 1kg,2,254
TXN-1633,Tata Tea Gold,4,297
TXN-1634,Tur Dal Loose,4,291
TXN-1635,Tata Tea Gold,2,263
TXN-1636,Tata Tea Gold,2,428
TXN-1637,Aashirvaad Atta 5kg,1,427
TXN-1638,Basmati Rice 1kg,1,244
TXN-1639,Tur Dal Loose,1,144
TXN-1640,Basmati Rice 1kg,2,301
TXN-1641,Cardamom 100g,3,79
TXN-1642,Sugar 1kg,2,433
TXN-1643,Lux Soap,4,354
TXN-1644,Tur Dal Loose,2,454
TXN-1645,Aashirvaad Atta 5kg,3,193
TXN-1646,Tur Dal Loose,5,205
TXN-1647,Tur Dal Loose,1,388
TXN-1648,Aashirvaad Atta 5kg,1,484
TXN-1649,Basmati Rice 1kg,1,40
TXN-1650,Aashirvaad Atta 5kg,2,207
TXN-1651,Sugar 1kg,2,24
TXN-1652,Aashirvaad Atta 5kg,4,129
